Drug Name,Drug Class,Indication,Side Effects,Dosage Form,Dosage Strength,Prescription Status,Manufacturer,Approval Year,Description,Price (USD),Market Status
Drug-4901,Analgesic,Fungal Infection,"Stomach Upset, Drowsiness",Cream,544 mg,OTC,BioSynth,1994,A analgesic used for fungal infection.,412.1,Discontinued
Drug-5276,Antidiabetic,Pain Relief,Fatigue,Cream,740 mg,OTC,HealthPlus,1993,A antidiabetic used for pain relief.,113,Discontinued
Drug-4026,Antifungal,Anxiety Reduction,"Nausea, Stomach Upset, Fatigue",Capsule,629 mg,Prescription,MediLife,2016,A antifungal used for anxiety reduction.,34.31,Active
Drug-8757,Antifungal,Depression,"Nausea, Headache, Dizziness",Cream,330 mg,Prescription,PharmaCorp,1997,A antifungal used for depression.,131.93,Active
Drug-8855,Antihypertensive,Infection,"Stomach Upset, Headache",Syrup,983 mg,OTC,MediLife,2015,A antihypertensive used for infection.,477.71,Discontinued
Drug-9203,Antidepressant,Diabetes,Fatigue,Gel,877 mg,Prescription,HealthPlus,2005,A antidepressant used for diabetes.,197.11,Discontinued
Drug-9769,Analgesic,Pain Relief,"Dizziness, Drowsiness, Stomach Upset",Cream,873 mg,OTC,PharmaCorp,1996,A analgesic used for pain relief.,465.18,Discontinued
Drug-6379,Antiviral,Pain Relief,"Fatigue, Dizziness",Cream,947 mg,OTC,Global Remedies,2022,A antiviral used for pain relief.,290.67,Active
Drug-9194,Antibiotic,Fungal Infection,"Drowsiness, Dizziness, Fatigue",Injection,424 mg,OTC,BioSynth,1990,A antibiotic used for fungal infection.,445.46,Discontinued
Drug-1288,Antiseptic,Fungal Infection,"Dizziness, Headache",Capsule,707 mg,OTC,HealthPlus,2018,A antiseptic used for fungal infection.,98.61,Discontinued
Drug-1892,Antiseptic,Depression,Headache,Tablet,679 mg,Prescription,Global Remedies,1983,A antiseptic used for depression.,347.55,Active
Drug-4237,Antidepressant,Fungal Infection,"Nausea, Fatigue, Drowsiness",Capsule,349 mg,Prescription,MediLife,1995,A antidepressant used for fungal infection.,37.69,Discontinued
Drug-4357,Antiseptic,Wound Cleaning,"Stomach Upset, Headache, Fatigue",Tablet,116 mg,OTC,BioSynth,2021,A antiseptic used for wound cleaning.,355.48,Discontinued
Drug-3662,Antidepressant,Allergy Relief,"Drowsiness, Stomach Upset",Tablet,738 mg,Prescription,PharmaCorp,2019,A antidepressant used for allergy relief.,374.02,Active
Drug-4010,Antidiabetic,Fungal Infection,"Headache, Nausea",Gel,854 mg,Prescription,BioSynth,2002,A antidiabetic used for fungal infection.,462.35,Active
Drug-6060,Antihypertensive,Blood Pressure Control,"Drowsiness, Stomach Upset, Headache",Capsule,593 mg,OTC,PharmaCorp,1985,A antihypertensive used for blood pressure control.,137.56,Discontinued
Drug-3791,Analgesic,Virus Management,Dizziness,Capsule,481 mg,OTC,Global Remedies,2023,A analgesic used for virus management.,417.92,Active
Drug-5370,Antibiotic,Pain Relief,"Headache, Fatigue",Gel,929 mg,OTC,Global Remedies,1992,A antibiotic used for pain relief.,368.69,Active
Drug-3158,Sedative,Pain Relief,"Fatigue, Dizziness, Drowsiness",Syrup,132 mg,Prescription,PharmaCorp,2010,A sedative used for pain relief.,60.77,Discontinued
Drug-2637,Antibiotic,Allergy Relief,"Headache, Stomach Upset, Nausea",Tablet,639 mg,OTC,MediLife,2012,A antibiotic used for allergy relief.,17.15,Active
Drug-5519,Sedative,Depression,"Dizziness, Drowsiness, Stomach Upset",Gel,187 mg,Prescription,BioSynth,2021,A sedative used for depression.,312.37,Discontinued
Drug-9157,Antiseptic,Blood Pressure Control,Nausea,Syrup,640 mg,Prescription,BioSynth,1981,A antiseptic used for blood pressure control.,294.61,Active
Drug-5837,Antihistamine,Wound Cleaning,Headache,Injection,856 mg,Prescription,PharmaCorp,1981,A antihistamine used for wound cleaning.,314.29,Active
Drug-1404,Antiviral,Diabetes,Nausea,Tablet,133 mg,Prescription,MediLife,2015,A antiviral used for diabetes.,290.63,Active
Drug-7913,Antidepressant,Virus Management,Dizziness,Capsule,307 mg,OTC,PharmaCorp,2022,A antidepressant used for virus management.,162.78,Active
Drug-3381,Antidepressant,Depression,Headache,Tablet,545 mg,OTC,BioSynth,2015,A antidepressant used for depression.,47.08,Active
Drug-3832,Antidiabetic,Wound Cleaning,"Nausea, Headache",Capsule,253 mg,Prescription,Global Remedies,2016,A antidiabetic used for wound cleaning.,290.92,Discontinued
Drug-4591,Antidiabetic,Wound Cleaning,"Drowsiness, Nausea, Fatigue",Cream,762 mg,Prescription,BioSynth,2005,A antidiabetic used for wound cleaning.,135.02,Active
Drug-6052,Antibiotic,Pain Relief,"Fatigue, Stomach Upset",Tablet,368 mg,Prescription,PharmaCorp,1996,A antibiotic used for pain relief.,221.16,Active
Drug-3965,Antiviral,Anxiety Reduction,"Fatigue, Dizziness",Gel,848 mg,OTC,PharmaCorp,2000,A antiviral used for anxiety reduction.,96.75,Active
Drug-1663,Antiseptic,Virus Management,"Nausea, Stomach Upset, Dizziness",Gel,696 mg,OTC,PharmaCorp,1998,A antiseptic used for virus management.,17,Discontinued
Drug-7373,Antifungal,Infection,"Drowsiness, Dizziness, Headache",Tablet,959 mg,OTC,PharmaCorp,1984,A antifungal used for infection.,441.19,Active
Drug-8441,Sedative,Virus Management,Drowsiness,Cream,36 mg,Prescription,BioSynth,1995,A sedative used for virus management.,388.61,Discontinued
Drug-8131,Antifungal,Blood Pressure Control,"Fatigue, Nausea, Stomach Upset",Gel,418 mg,OTC,MediLife,1988,A antifungal used for blood pressure control.,235.94,Discontinued
Drug-6437,Antibiotic,Virus Management,"Dizziness, Fatigue",Tablet,789 mg,OTC,BioSynth,1985,A antibiotic used for virus management.,129.57,Discontinued
Drug-1568,Antiviral,Virus Management,"Headache, Fatigue",Injection,762 mg,Prescription,HealthPlus,2007,A antiviral used for virus management.,311.08,Discontinued
Drug-4032,Antiseptic,Pain Relief,Fatigue,Cream,361 mg,OTC,BioSynth,2005,A antiseptic used for pain relief.,254.57,Discontinued
Drug-5442,Antidiabetic,Infection,"Drowsiness, Nausea, Headache",Gel,513 mg,OTC,PharmaCorp,2009,A antidiabetic used for infection.,105.81,Active
Drug-8401,Sedative,Allergy Relief,"Fatigue, Drowsiness",Gel,915 mg,OTC,Global Remedies,1980,A sedative used for allergy relief.,473.45,Active
Drug-1016,Antidiabetic,Wound Cleaning,Dizziness,Syrup,333 mg,OTC,HealthPlus,2002,A antidiabetic used for wound cleaning.,87.79,Discontinued
Drug-9495,Antiviral,Diabetes,"Headache, Fatigue, Dizziness",Capsule,108 mg,OTC,BioSynth,1992,A antiviral used for diabetes.,360.56,Active
Drug-1423,Antifungal,Wound Cleaning,Fatigue,Cream,205 mg,Prescription,Global Remedies,2019,A antifungal used for wound cleaning.,388.87,Discontinued
Drug-1003,Antidepressant,Pain Relief,"Headache, Fatigue, Nausea",Gel,89 mg,Prescription,Global Remedies,2021,A antidepressant used for pain relief.,486.92,Discontinued
Drug-5782,Antihypertensive,Blood Pressure Control,"Stomach Upset, Fatigue",Cream,505 mg,OTC,BioSynth,1984,A antihypertensive used for blood pressure control.,306.82,Discontinued
Drug-2489,Antidiabetic,Depression,"Fatigue, Dizziness, Stomach Upset",Cream,870 mg,OTC,Global Remedies,2004,A antidiabetic used for depression.,216.76,Active
Drug-5146,Antiviral,Wound Cleaning,Headache,Capsule,735 mg,OTC,MediLife,1981,A antiviral used for wound cleaning.,308.8,Discontinued
Drug-6751,Antihistamine,Blood Pressure Control,"Drowsiness, Headache",Tablet,447 mg,Prescription,PharmaCorp,2011,A antihistamine used for blood pressure control.,406.02,Active
Drug-6983,Analgesic,Depression,"Dizziness, Nausea",Capsule,236 mg,Prescription,HealthPlus,2019,A analgesic used for depression.,279.25,Active
Drug-3957,Antidepressant,Infection,"Drowsiness, Headache, Nausea",Tablet,706 mg,Prescription,PharmaCorp,2008,A antidepressant used for infection.,357.22,Active
Drug-3638,Antiseptic,Diabetes,Fatigue,Gel,251 mg,OTC,PharmaCorp,1996,A antiseptic used for diabetes.,274.44,Active
Drug-7250,Sedative,Allergy Relief,"Fatigue, Drowsiness, Headache",Syrup,70 mg,OTC,HealthPlus,1995,A sedative used for allergy relief.,163.17,Discontinued
Drug-1805,Antibiotic,Wound Cleaning,Fatigue,Cream,29 mg,Prescription,HealthPlus,1993,A antibiotic used for wound cleaning.,70.55,Discontinued
Drug-6715,Sedative,Wound Cleaning,Drowsiness,Syrup,611 mg,OTC,Global Remedies,1991,A sedative used for wound cleaning.,377.48,Discontinued
Drug-5263,Antiviral,Fungal Infection,"Stomach Upset, Nausea, Dizziness",Cream,501 mg,OTC,MediLife,1983,A antiviral used for fungal infection.,310.89,Active
Drug-1845,Sedative,Pain Relief,"Nausea, Stomach Upset",Tablet,80 mg,OTC,HealthPlus,2004,A sedative used for pain relief.,369.14,Discontinued
Drug-6822,Antibiotic,Virus Management,"Nausea, Headache",Gel,380 mg,Prescription,Global Remedies,1981,A antibiotic used for virus management.,21.01,Active
Drug-1482,Antidepressant,Fungal Infection,"Fatigue, Headache, Drowsiness",Tablet,210 mg,Prescription,PharmaCorp,2013,A antidepressant used for fungal infection.,189.26,Discontinued
Drug-1801,Antiviral,Blood Pressure Control,"Nausea, Drowsiness",Syrup,974 mg,OTC,MediLife,1992,A antiviral used for blood pressure control.,90.12,Active
Drug-7751,Antiviral,Wound Cleaning,"Dizziness, Stomach Upset, Nausea",Injection,211 mg,OTC,PharmaCorp,2020,A antiviral used for wound cleaning.,192.08,Active
Drug-9060,Antihistamine,Virus Management,"Fatigue, Drowsiness",Capsule,749 mg,OTC,BioSynth,2018,A antihistamine used for virus management.,400.92,Active
Drug-3730,Antiseptic,Blood Pressure Control,"Stomach Upset, Headache",Injection,495 mg,Prescription,PharmaCorp,2014,A antiseptic used for blood pressure control.,273.55,Discontinued
Drug-8821,Antidiabetic,Wound Cleaning,"Drowsiness, Dizziness",Gel,546 mg,Prescription,HealthPlus,1996,A antidiabetic used for wound cleaning.,67.92,Active
Drug-1514,Antibiotic,Anxiety Reduction,"Drowsiness, Headache, Fatigue",Gel,206 mg,OTC,PharmaCorp,2020,A antibiotic used for anxiety reduction.,417.79,Active
Drug-1063,Antihypertensive,Virus Management,"Nausea, Fatigue, Headache",Injection,932 mg,Prescription,HealthPlus,1995,A antihypertensive used for virus management.,476.86,Active
Drug-3617,Antiviral,Allergy Relief,"Dizziness, Drowsiness",Syrup,485 mg,OTC,HealthPlus,2013,A antiviral used for allergy relief.,337.98,Discontinued
Drug-9360,Antihistamine,Wound Cleaning,"Drowsiness, Nausea, Headache",Capsule,96 mg,OTC,HealthPlus,1995,A antihistamine used for wound cleaning.,91.79,Active
Drug-6594,Analgesic,Blood Pressure Control,"Stomach Upset, Nausea",Injection,642 mg,Prescription,HealthPlus,1992,A analgesic used for blood pressure control.,487.47,Discontinued
Drug-3178,Sedative,Diabetes,Headache,Syrup,345 mg,OTC,PharmaCorp,2011,A sedative used for diabetes.,214.73,Active
Drug-8878,Antifungal,Allergy Relief,"Drowsiness, Headache",Capsule,663 mg,OTC,Global Remedies,2018,A antifungal used for allergy relief.,326.49,Discontinued
Drug-1860,Antifungal,Pain Relief,"Drowsiness, Fatigue",Tablet,603 mg,Prescription,BioSynth,1989,A antifungal used for pain relief.,393.2,Discontinued
Drug-6512,Antihypertensive,Infection,"Headache, Fatigue",Capsule,436 mg,Prescription,BioSynth,1988,A antihypertensive used for infection.,426.28,Active
Drug-5579,Antihistamine,Anxiety Reduction,"Dizziness, Headache",Tablet,862 mg,Prescription,PharmaCorp,2006,A antihistamine used for anxiety reduction.,157.63,Active
Drug-6051,Antiseptic,Pain Relief,"Drowsiness, Headache, Nausea",Tablet,397 mg,Prescription,HealthPlus,2000,A antiseptic used for pain relief.,349.97,Discontinued
Drug-5371,Antiseptic,Diabetes,Fatigue,Cream,221 mg,OTC,BioSynth,2008,A antiseptic used for diabetes.,27.83,Active
Drug-7480,Analgesic,Infection,"Headache, Fatigue, Nausea",Syrup,17 mg,Prescription,HealthPlus,2012,A analgesic used for infection.,346.32,Discontinued
Drug-6849,Antifungal,Diabetes,Fatigue,Syrup,832 mg,Prescription,BioSynth,1996,A antifungal used for diabetes.,135.62,Discontinued
Drug-2756,Antiseptic,Infection,Headache,Injection,622 mg,OTC,BioSynth,1985,A antiseptic used for infection.,45.71,Active
Drug-4638,Antiviral,Virus Management,"Stomach Upset, Fatigue",Gel,912 mg,OTC,HealthPlus,1985,A antiviral used for virus management.,286.92,Active
Drug-1293,Antiviral,Allergy Relief,"Dizziness, Fatigue",Tablet,884 mg,OTC,Global Remedies,2021,A antiviral used for allergy relief.,174.89,Active
Drug-6764,Analgesic,Infection,Dizziness,Syrup,509 mg,Prescription,HealthPlus,2006,A analgesic used for infection.,370.5,Active
Drug-8566,Antidiabetic,Wound Cleaning,"Nausea, Drowsiness",Tablet,588 mg,Prescription,MediLife,2015,A antidiabetic used for wound cleaning.,494.43,Discontinued
Drug-9165,Antidepressant,Pain Relief,"Fatigue, Headache",Injection,411 mg,Prescription,MediLife,2013,A antidepressant used for pain relief.,35.47,Active
Drug-7526,Antifungal,Blood Pressure Control,Headache,Capsule,283 mg,OTC,Global Remedies,2010,A antifungal used for blood pressure control.,75.28,Active
Drug-3825,Antiseptic,Pain Relief,"Headache, Drowsiness, Dizziness",Gel,665 mg,OTC,BioSynth,2002,A antiseptic used for pain relief.,156.76,Active
Drug-1914,Sedative,Blood Pressure Control,Drowsiness,Capsule,573 mg,Prescription,Global Remedies,2018,A sedative used for blood pressure control.,156.11,Discontinued
Drug-3296,Sedative,Wound Cleaning,"Fatigue, Headache",Cream,300 mg,OTC,Global Remedies,2001,A sedative used for wound cleaning.,470.7,Discontinued
Drug-6885,Antifungal,Infection,"Stomach Upset, Fatigue",Tablet,882 mg,OTC,PharmaCorp,1987,A antifungal used for infection.,331.88,Discontinued
Drug-7968,Antibiotic,Wound Cleaning,"Nausea, Dizziness",Capsule,875 mg,Prescription,PharmaCorp,2001,A antibiotic used for wound cleaning.,362.7,Active
Drug-6843,Antidiabetic,Virus Management,"Drowsiness, Dizziness",Cream,353 mg,OTC,BioSynth,2023,A antidiabetic used for virus management.,282.42,Discontinued
Drug-2402,Antiseptic,Fungal Infection,"Headache, Drowsiness, Nausea",Injection,812 mg,OTC,BioSynth,2020,A antiseptic used for fungal infection.,448.28,Discontinued
Drug-8815,Antihistamine,Virus Management,"Nausea, Headache",Syrup,360 mg,Prescription,BioSynth,1998,A antihistamine used for virus management.,444.04,Active
Drug-4832,Antifungal,Fungal Infection,"Stomach Upset, Nausea",Syrup,933 mg,Prescription,BioSynth,2011,A antifungal used for fungal infection.,83.12,Active
Drug-6901,Antihistamine,Fungal Infection,Headache,Injection,225 mg,OTC,Global Remedies,2021,A antihistamine used for fungal infection.,94.91,Discontinued
Drug-7396,Antidiabetic,Blood Pressure Control,Fatigue,Tablet,514 mg,OTC,Global Remedies,2010,A antidiabetic used for blood pressure control.,198.98,Active
Drug-7073,Sedative,Infection,"Dizziness, Nausea",Capsule,973 mg,OTC,Global Remedies,1990,A sedative used for infection.,447.78,Active
Drug-6897,Antihypertensive,Blood Pressure Control,"Fatigue, Stomach Upset",Cream,71 mg,Prescription,HealthPlus,1997,A antihypertensive used for blood pressure control.,39.13,Active
Drug-2024,Antifungal,Fungal Infection,"Fatigue, Nausea, Dizziness",Gel,473 mg,OTC,MediLife,1988,A antifungal used for fungal infection.,331.82,Discontinued
Drug-7150,Sedative,Wound Cleaning,"Dizziness, Nausea, Drowsiness",Injection,104 mg,Prescription,MediLife,2019,A sedative used for wound cleaning.,36.26,Discontinued
Drug-5974,Antiviral,Virus Management,Stomach Upset,Tablet,741 mg,Prescription,MediLife,1982,A antiviral used for virus management.,260.2,Discontinued
Drug-1407,Antibiotic,Wound Cleaning,"Nausea, Drowsiness, Fatigue",Tablet,734 mg,Prescription,BioSynth,2022,A antibiotic used for wound cleaning.,358.8,Discontinued
Drug-2076,Analgesic,Depression,"Drowsiness, Stomach Upset, Headache",Tablet,540 mg,OTC,PharmaCorp,2015,A analgesic used for depression.,499.49,Active
Drug-2551,Antidiabetic,Anxiety Reduction,"Fatigue, Dizziness, Headache",Syrup,994 mg,OTC,MediLife,2008,A antidiabetic used for anxiety reduction.,163.01,Active
Drug-9345,Antiviral,Anxiety Reduction,"Dizziness, Nausea, Drowsiness",Capsule,132 mg,OTC,BioSynth,1980,A antiviral used for anxiety reduction.,265.22,Discontinued
Drug-7046,Antidepressant,Infection,"Fatigue, Dizziness",Capsule,457 mg,Prescription,Global Remedies,1996,A antidepressant used for infection.,66.31,Discontinued
Drug-1946,Antidepressant,Infection,"Stomach Upset, Fatigue, Drowsiness",Cream,284 mg,OTC,HealthPlus,2020,A antidepressant used for infection.,293.57,Discontinued
Drug-3494,Antiseptic,Virus Management,"Stomach Upset, Drowsiness",Tablet,757 mg,OTC,MediLife,2011,A antiseptic used for virus management.,55.85,Discontinued
Drug-9912,Antihypertensive,Infection,"Nausea, Stomach Upset, Dizziness",Cream,645 mg,OTC,HealthPlus,1980,A antihypertensive used for infection.,57.94,Discontinued
Drug-1118,Antidiabetic,Virus Management,Dizziness,Capsule,140 mg,Prescription,BioSynth,1993,A antidiabetic used for virus management.,332.28,Active
Drug-5359,Antihypertensive,Allergy Relief,"Nausea, Headache",Capsule,934 mg,Prescription,BioSynth,2006,A antihypertensive used for allergy relief.,237.21,Active
Drug-7352,Antiseptic,Allergy Relief,Headache,Cream,451 mg,OTC,PharmaCorp,2019,A antiseptic used for allergy relief.,15.98,Discontinued
Drug-7918,Antidiabetic,Blood Pressure Control,"Drowsiness, Dizziness, Headache",Tablet,307 mg,OTC,BioSynth,2011,A antidiabetic used for blood pressure control.,383.24,Active
Drug-1325,Antifungal,Anxiety Reduction,"Fatigue, Drowsiness",Capsule,658 mg,Prescription,Global Remedies,2020,A antifungal used for anxiety reduction.,400.33,Active
Drug-8055,Sedative,Infection,Drowsiness,Capsule,718 mg,OTC,HealthPlus,2007,A sedative used for infection.,56.67,Discontinued
Drug-1839,Sedative,Pain Relief,"Fatigue, Nausea",Gel,750 mg,OTC,PharmaCorp,1993,A sedative used for pain relief.,394.32,Discontinued
Drug-9193,Antihypertensive,Allergy Relief,Stomach Upset,Gel,329 mg,OTC,MediLife,2000,A antihypertensive used for allergy relief.,496.54,Active
Drug-2108,Antibiotic,Depression,"Nausea, Fatigue",Capsule,70 mg,OTC,MediLife,2004,A antibiotic used for depression.,196.18,Active
Drug-3183,Analgesic,Depression,"Nausea, Fatigue, Stomach Upset",Syrup,397 mg,Prescription,PharmaCorp,2016,A analgesic used for depression.,499.23,Active
Drug-2421,Analgesic,Wound Cleaning,"Stomach Upset, Dizziness",Cream,366 mg,OTC,Global Remedies,2011,A analgesic used for wound cleaning.,134.48,Discontinued
Drug-3314,Analgesic,Allergy Relief,"Drowsiness, Stomach Upset, Nausea",Capsule,902 mg,OTC,HealthPlus,1982,A analgesic used for allergy relief.,99.54,Discontinued
Drug-8889,Antidiabetic,Wound Cleaning,"Fatigue, Headache, Drowsiness",Gel,205 mg,Prescription,BioSynth,2013,A antidiabetic used for wound cleaning.,441,Active
Drug-1370,Antihistamine,Virus Management,Drowsiness,Gel,665 mg,OTC,PharmaCorp,1987,A antihistamine used for virus management.,142.51,Active
Drug-5606,Antibiotic,Diabetes,Headache,Cream,159 mg,OTC,PharmaCorp,2013,A antibiotic used for diabetes.,336.69,Active
Drug-3667,Antihypertensive,Depression,Nausea,Tablet,618 mg,Prescription,Global Remedies,2016,A antihypertensive used for depression.,476.84,Active
Drug-2277,Antifungal,Depression,Dizziness,Capsule,925 mg,OTC,BioSynth,1995,A antifungal used for depression.,232.92,Discontinued
Drug-1303,Antiseptic,Fungal Infection,"Stomach Upset, Dizziness",Tablet,257 mg,Prescription,BioSynth,2007,A antiseptic used for fungal infection.,198.53,Active
Drug-3676,Antihypertensive,Fungal Infection,"Drowsiness, Headache",Syrup,655 mg,OTC,HealthPlus,2021,A antihypertensive used for fungal infection.,25.01,Active
Drug-9739,Antiseptic,Pain Relief,"Nausea, Stomach Upset, Dizziness",Tablet,665 mg,Prescription,PharmaCorp,1990,A antiseptic used for pain relief.,398.11,Active
Drug-5478,Antiviral,Depression,"Nausea, Drowsiness, Stomach Upset",Gel,709 mg,OTC,HealthPlus,1991,A antiviral used for depression.,474.89,Active
Drug-1354,Antidepressant,Wound Cleaning,"Fatigue, Stomach Upset, Headache",Gel,779 mg,OTC,Global Remedies,1995,A antidepressant used for wound cleaning.,336.59,Active
Drug-9994,Sedative,Pain Relief,"Dizziness, Headache",Syrup,726 mg,Prescription,PharmaCorp,1995,A sedative used for pain relief.,373.96,Active
Drug-8352,Antiviral,Allergy Relief,"Dizziness, Fatigue, Drowsiness",Injection,540 mg,Prescription,PharmaCorp,1987,A antiviral used for allergy relief.,217.62,Active
Drug-8318,Antihistamine,Wound Cleaning,Fatigue,Cream,231 mg,OTC,HealthPlus,1987,A antihistamine used for wound cleaning.,71.42,Discontinued
Drug-8544,Antihypertensive,Virus Management,Headache,Cream,791 mg,Prescription,BioSynth,2016,A antihypertensive used for virus management.,241.7,Active
Drug-4548,Antidepressant,Pain Relief,"Dizziness, Fatigue",Syrup,902 mg,OTC,BioSynth,2018,A antidepressant used for pain relief.,11.15,Active
Drug-8463,Antidepressant,Wound Cleaning,Fatigue,Tablet,267 mg,Prescription,Global Remedies,2013,A antidepressant used for wound cleaning.,135.51,Active
Drug-2213,Antihypertensive,Allergy Relief,"Headache, Drowsiness",Syrup,951 mg,OTC,HealthPlus,2019,A antihypertensive used for allergy relief.,180.27,Active
Drug-2170,Analgesic,Pain Relief,Drowsiness,Syrup,483 mg,OTC,HealthPlus,1988,A analgesic used for pain relief.,414.91,Discontinued
Drug-4876,Sedative,Allergy Relief,Fatigue,Gel,97 mg,Prescription,MediLife,2011,A sedative used for allergy relief.,11.07,Discontinued
Drug-2105,Antidiabetic,Pain Relief,"Fatigue, Dizziness, Stomach Upset",Gel,165 mg,OTC,PharmaCorp,2004,A antidiabetic used for pain relief.,212.37,Discontinued
Drug-3458,Antifungal,Depression,"Nausea, Stomach Upset",Injection,1000 mg,Prescription,BioSynth,1986,A antifungal used for depression.,193.16,Discontinued
Drug-4990,Analgesic,Pain Relief,Headache,Gel,271 mg,OTC,HealthPlus,2015,A analgesic used for pain relief.,443.23,Active
Drug-6572,Antifungal,Blood Pressure Control,"Headache, Fatigue",Tablet,960 mg,Prescription,PharmaCorp,2013,A antifungal used for blood pressure control.,254.21,Discontinued
Drug-7020,Analgesic,Blood Pressure Control,"Nausea, Stomach Upset",Cream,467 mg,OTC,BioSynth,2011,A analgesic used for blood pressure control.,430.47,Active
Drug-5863,Sedative,Allergy Relief,"Fatigue, Dizziness, Nausea",Injection,944 mg,OTC,PharmaCorp,2015,A sedative used for allergy relief.,195.46,Discontinued
Drug-5108,Analgesic,Depression,Drowsiness,Gel,859 mg,OTC,MediLife,1981,A analgesic used for depression.,232.19,Discontinued
Drug-3303,Antibiotic,Allergy Relief,Stomach Upset,Gel,895 mg,Prescription,Global Remedies,2017,A antibiotic used for allergy relief.,384.85,Active
Drug-2371,Antiseptic,Anxiety Reduction,"Stomach Upset, Nausea, Dizziness",Gel,289 mg,Prescription,MediLife,2022,A antiseptic used for anxiety reduction.,111.74,Discontinued
Drug-4065,Sedative,Depression,"Dizziness, Headache, Stomach Upset",Gel,656 mg,Prescription,BioSynth,2004,A sedative used for depression.,497.6,Active
Drug-5775,Sedative,Allergy Relief,Nausea,Injection,257 mg,OTC,Global Remedies,1994,A sedative used for allergy relief.,34.8,Active
Drug-3801,Antifungal,Fungal Infection,"Drowsiness, Nausea, Stomach Upset",Syrup,172 mg,OTC,BioSynth,1989,A antifungal used for fungal infection.,186.32,Discontinued
Drug-7383,Analgesic,Pain Relief,Dizziness,Gel,393 mg,Prescription,PharmaCorp,2001,A analgesic used for pain relief.,478.18,Active
Drug-3761,Antidepressant,Diabetes,Drowsiness,Injection,960 mg,OTC,BioSynth,1995,A antidepressant used for diabetes.,246.85,Active
Drug-7037,Antidiabetic,Blood Pressure Control,"Stomach Upset, Drowsiness",Syrup,662 mg,Prescription,HealthPlus,1993,A antidiabetic used for blood pressure control.,379.17,Active
Drug-4083,Antifungal,Diabetes,"Fatigue, Stomach Upset",Gel,90 mg,Prescription,PharmaCorp,2006,A antifungal used for diabetes.,353.14,Active
Drug-9191,Analgesic,Blood Pressure Control,Dizziness,Injection,985 mg,Prescription,Global Remedies,2016,A analgesic used for blood pressure control.,64.63,Discontinued
Drug-2822,Antifungal,Infection,"Drowsiness, Dizziness, Fatigue",Capsule,330 mg,Prescription,HealthPlus,2003,A antifungal used for infection.,287.82,Discontinued
Drug-5794,Antiviral,Wound Cleaning,Dizziness,Injection,18 mg,Prescription,PharmaCorp,1999,A antiviral used for wound cleaning.,448.73,Active
Drug-2858,Antidepressant,Blood Pressure Control,Fatigue,Gel,907 mg,OTC,Global Remedies,2006,A antidepressant used for blood pressure control.,487.72,Discontinued
Drug-4668,Antiviral,Fungal Infection,"Nausea, Fatigue, Dizziness",Syrup,102 mg,Prescription,PharmaCorp,2000,A antiviral used for fungal infection.,54.61,Discontinued
Drug-7730,Antihistamine,Depression,"Nausea, Drowsiness",Tablet,586 mg,Prescription,MediLife,1986,A antihistamine used for depression.,275,Active
Drug-5108,Analgesic,Fungal Infection,Stomach Upset,Tablet,977 mg,OTC,PharmaCorp,1985,A analgesic used for fungal infection.,365.65,Active
Drug-5678,Antihypertensive,Allergy Relief,"Nausea, Stomach Upset",Cream,872 mg,Prescription,BioSynth,2010,A antihypertensive used for allergy relief.,373.95,Discontinued
Drug-8327,Antiseptic,Anxiety Reduction,"Stomach Upset, Headache",Gel,895 mg,OTC,Global Remedies,1992,A antiseptic used for anxiety reduction.,482.39,Discontinued
Drug-9319,Analgesic,Wound Cleaning,"Stomach Upset, Headache",Gel,125 mg,Prescription,MediLife,1984,A analgesic used for wound cleaning.,201.25,Discontinued
Drug-9848,Antibiotic,Allergy Relief,"Stomach Upset, Headache",Capsule,32 mg,Prescription,Global Remedies,2009,A antibiotic used for allergy relief.,245.46,Discontinued
Drug-5655,Sedative,Anxiety Reduction,"Fatigue, Dizziness",Syrup,276 mg,OTC,MediLife,1987,A sedative used for anxiety reduction.,304.52,Active
Drug-9775,Analgesic,Fungal Infection,"Dizziness, Drowsiness, Stomach Upset",Injection,344 mg,OTC,BioSynth,1982,A analgesic used for fungal infection.,372.95,Active
Drug-9417,Antidepressant,Infection,"Fatigue, Nausea",Injection,399 mg,OTC,PharmaCorp,2004,A antidepressant used for infection.,320.83,Active
Drug-5277,Antiviral,Pain Relief,"Fatigue, Dizziness",Tablet,318 mg,Prescription,HealthPlus,2003,A antiviral used for pain relief.,267.72,Discontinued
Drug-7633,Antiviral,Virus Management,"Drowsiness, Headache",Tablet,755 mg,Prescription,Global Remedies,2000,A antiviral used for virus management.,70.78,Active
Drug-7914,Antihypertensive,Diabetes,"Stomach Upset, Drowsiness",Syrup,985 mg,OTC,BioSynth,1997,A antihypertensive used for diabetes.,254.02,Active
Drug-3621,Antibiotic,Diabetes,"Stomach Upset, Nausea, Drowsiness",Tablet,235 mg,Prescription,PharmaCorp,1983,A antibiotic used for diabetes.,349.72,Discontinued
Drug-1007,Sedative,Fungal Infection,"Drowsiness, Nausea, Fatigue",Cream,861 mg,OTC,Global Remedies,1993,A sedative used for fungal infection.,222.16,Active
Drug-2654,Antiviral,Diabetes,Dizziness,Tablet,373 mg,OTC,Global Remedies,2008,A antiviral used for diabetes.,465.02,Discontinued
